Date,Product_Code,Warehouse,Product_Category,Order_Demand,month,quarter,year,season,is_holiday_season,lag_1,lag_2,lag_3,lag_6,rolling_mean_3,rolling_mean_6,Unit_Price,Revenue
2014-04-01,Product_0001,Whse_J,Category_005,800.0,4,2,2014,Spring,0,1200.0,2700.0,2100.0,2000.0,2000.0,2183.3333333333335,67.18,53744.00000000001
2014-05-01,Product_0001,Whse_J,Category_005,1200.0,5,2,2014,Spring,0,800.0,1200.0,2700.0,2200.0,1566.6666666666667,1983.3333333333333,67.49,80988.0
2014-06-01,Product_0001,Whse_J,Category_005,5300.0,6,2,2014,Summer,0,1200.0,800.0,1200.0,2900.0,1066.6666666666667,1816.6666666666667,66.29,351337.00000000006
2014-07-01,Product_0001,Whse_J,Category_005,3700.0,7,3,2014,Summer,0,5300.0,1200.0,800.0,2100.0,2433.3333333333335,2216.6666666666665,65.61,242757.0
2014-08-01,Product_0001,Whse_J,Category_005,1900.0,8,3,2014,Summer,0,3700.0,5300.0,1200.0,2700.0,3400.0,2483.3333333333335,67.13,127546.99999999999
2014-09-01,Product_0001,Whse_J,Category_005,2300.0,9,3,2014,Autumn,0,1900.0,3700.0,5300.0,1200.0,3633.3333333333335,2350.0,67.98,156354.0
2014-10-01,Product_0001,Whse_J,Category_005,700.0,10,4,2014,Autumn,0,2300.0,1900.0,3700.0,800.0,2633.3333333333335,2533.3333333333335,68.77,48139.0
2014-11-01,Product_0001,Whse_J,Category_005,3600.0,11,4,2014,Autumn,1,700.0,2300.0,1900.0,1200.0,1633.3333333333333,2516.6666666666665,72.04,259344.00000000003
2014-12-01,Product_0001,Whse_J,Category_005,1000.0,12,4,2014,Winter,1,3600.0,700.0,2300.0,5300.0,2200.0,2916.6666666666665,72.05,72050.0
2015-01-01,Product_0001,Whse_J,Category_005,1400.0,1,1,2015,Winter,0,1000.0,3600.0,700.0,3700.0,1766.6666666666667,2200.0,76.89,107646.0
2015-02-01,Product_0001,Whse_J,Category_005,2000.0,2,1,2015,Winter,0,1400.0,1000.0,3600.0,1900.0,2000.0,1816.6666666666667,76.94,153880.0
2015-03-01,Product_0001,Whse_J,Category_005,3600.0,3,1,2015,Spring,0,2000.0,1400.0,1000.0,2300.0,1466.6666666666667,1833.3333333333333,71.21,256355.99999999997
2015-04-01,Product_0001,Whse_J,Category_005,1700.0,4,2,2015,Spring,0,3600.0,2000.0,1400.0,700.0,2333.3333333333335,2050.0,66.55,113135.0
2015-05-01,Product_0001,Whse_J,Category_005,500.0,5,2,2015,Spring,0,1700.0,3600.0,2000.0,3600.0,2433.3333333333335,2216.6666666666665,68.52,34260.0
2015-06-01,Product_0001,Whse_J,Category_005,1400.0,6,2,2015,Summer,0,500.0,1700.0,3600.0,1000.0,1933.3333333333333,1700.0,64.65,90510.00000000001
2015-07-01,Product_0001,Whse_J,Category_005,1100.0,7,3,2015,Summer,0,1400.0,500.0,1700.0,1400.0,1200.0,1766.6666666666667,67.44,74184.0
2015-08-01,Product_0001,Whse_J,Category_005,900.0,8,3,2015,Summer,0,1100.0,1400.0,500.0,2000.0,1000.0,1716.6666666666667,68.98,62082.0
2015-09-01,Product_0001,Whse_J,Category_005,1000.0,9,3,2015,Autumn,0,900.0,1100.0,1400.0,3600.0,1133.3333333333333,1533.3333333333333,72.25,72250.0
2015-10-01,Product_0001,Whse_J,Category_005,1300.0,10,4,2015,Autumn,0,1000.0,900.0,1100.0,1700.0,1000.0,1100.0,70.43,91559.00000000001
2015-11-01,Product_0001,Whse_J,Category_005,800.0,11,4,2015,Autumn,1,1300.0,1000.0,900.0,500.0,1066.6666666666667,1033.3333333333333,69.64,55712.0
2015-12-01,Product_0001,Whse_J,Category_005,1200.0,12,4,2015,Winter,1,800.0,1300.0,1000.0,1400.0,1033.3333333333333,1083.3333333333333,75.26,90312.0
2016-01-01,Product_0001,Whse_J,Category_005,2000.0,1,1,2016,Winter,0,1200.0,800.0,1300.0,1100.0,1100.0,1050.0,71.12,142240.0
2016-02-01,Product_0001,Whse_J,Category_005,1100.0,2,1,2016,Winter,0,2000.0,1200.0,800.0,900.0,1333.3333333333333,1200.0,75.01,82511.0
2016-03-01,Product_0001,Whse_J,Category_005,3300.0,3,1,2016,Spring,0,1100.0,2000.0,1200.0,1000.0,1433.3333333333333,1233.3333333333333,66.48,219384.0
2016-04-01,Product_0001,Whse_J,Category_005,1400.0,4,2,2016,Spring,0,3300.0,1100.0,2000.0,1300.0,2133.3333333333335,1616.6666666666667,69.63,97482.0
2016-05-01,Product_0001,Whse_J,Category_005,2900.0,5,2,2016,Spring,0,1400.0,3300.0,1100.0,800.0,1933.3333333333333,1633.3333333333333,68.03,197287.0
2016-06-01,Product_0001,Whse_J,Category_005,2200.0,6,2,2016,Summer,0,2900.0,1400.0,3300.0,1200.0,2533.3333333333335,1983.3333333333333,64.86,142692.0
2016-07-01,Product_0001,Whse_J,Category_005,1500.0,7,3,2016,Summer,0,2200.0,2900.0,1400.0,2000.0,2166.6666666666665,2150.0,63.88,95820.0
2016-08-01,Product_0001,Whse_J,Category_005,1500.0,8,3,2016,Summer,0,1500.0,2200.0,2900.0,1100.0,2200.0,2066.6666666666665,64.92,97380.0
2016-09-01,Product_0001,Whse_J,Category_005,1300.0,9,3,2016,Autumn,0,1500.0,1500.0,2200.0,3300.0,1733.3333333333333,2133.3333333333335,71.58,93054.0
2016-10-01,Product_0001,Whse_J,Category_005,1600.0,10,4,2016,Autumn,0,1300.0,1500.0,1500.0,1400.0,1433.3333333333333,1800.0,72.61,116176.0
2016-11-01,Product_0001,Whse_J,Category_005,100.0,11,4,2016,Autumn,1,1600.0,1300.0,1500.0,2900.0,1466.6666666666667,1833.3333333333333,71.52,7152.0
2016-12-01,Product_0001,Whse_J,Category_005,1500.0,12,4,2016,Winter,1,100.0,1600.0,1300.0,2200.0,1000.0,1366.6666666666667,76.85,115274.99999999999
2012-09-01,Product_0002,Whse_C,Category_005,1000.0,9,3,2012,Autumn,0,2000.0,1000.0,5000.0,5000.0,2666.6666666666665,4000.0,67.1,67100.0
2012-11-01,Product_0002,Whse_C,Category_005,4000.0,11,4,2012,Autumn,1,1000.0,2000.0,1000.0,9000.0,1333.3333333333333,3333.3333333333335,70.17,280680.0
2012-12-01,Product_0002,Whse_C,Category_005,5000.0,12,4,2012,Winter,1,4000.0,1000.0,2000.0,2000.0,2333.3333333333335,2500.0,74.87,374350.0
2013-01-01,Product_0002,Whse_C,Category_005,1000.0,1,1,2013,Winter,0,5000.0,4000.0,1000.0,5000.0,3333.3333333333335,3000.0,72.73,72730.0
2013-02-01,Product_0002,Whse_C,Category_005,4000.0,2,1,2013,Winter,0,1000.0,5000.0,4000.0,1000.0,3333.3333333333335,2333.3333333333335,74.07,296280.0
2013-03-01,Product_0002,Whse_C,Category_005,1000.0,3,1,2013,Spring,0,4000.0,1000.0,5000.0,2000.0,3333.3333333333335,2833.3333333333335,67.24,67240.0
2013-04-01,Product_0002,Whse_C,Category_005,5000.0,4,2,2013,Spring,0,1000.0,4000.0,1000.0,1000.0,2000.0,2666.6666666666665,64.44,322200.0
2013-05-01,Product_0002,Whse_C,Category_005,1000.0,5,2,2013,Spring,0,5000.0,1000.0,4000.0,4000.0,3333.3333333333335,3333.3333333333335,68.99,68990.0
2013-06-01,Product_0002,Whse_C,Category_005,5000.0,6,2,2013,Summer,0,1000.0,5000.0,1000.0,5000.0,2333.3333333333335,2833.3333333333335,66.76,333800.0
2013-07-01,Product_0002,Whse_C,Category_005,5000.0,7,3,2013,Summer,0,5000.0,1000.0,5000.0,1000.0,3666.6666666666665,2833.3333333333335,65.62,328100.0
2013-08-01,Product_0002,Whse_C,Category_005,6000.0,8,3,2013,Summer,0,5000.0,5000.0,1000.0,4000.0,3666.6666666666665,3500.0,62.37,374220.0
2013-09-01,Product_0002,Whse_C,Category_005,10000.0,9,3,2013,Autumn,0,6000.0,5000.0,5000.0,1000.0,5333.333333333333,3833.3333333333335,67.34,673400.0
2013-10-01,Product_0002,Whse_C,Category_005,2500.0,10,4,2013,Autumn,0,10000.0,6000.0,5000.0,5000.0,7000.0,5333.333333333333,66.55,166375.0
2013-11-01,Product_0002,Whse_C,Category_005,500.0,11,4,2013,Autumn,1,2500.0,10000.0,6000.0,1000.0,6166.666666666667,4916.666666666667,70.48,35240.0
2013-12-01,Product_0002,Whse_C,Category_005,3500.0,12,4,2013,Winter,1,500.0,2500.0,10000.0,5000.0,4333.333333333333,4833.333333333333,74.98,262430.0
2014-01-01,Product_0002,Whse_C,Category_005,1000.0,1,1,2014,Winter,0,3500.0,500.0,2500.0,5000.0,2166.6666666666665,4583.333333333333,73.16,73160.0
2014-02-01,Product_0002,Whse_C,Category_005,6000.0,2,1,2014,Winter,0,1000.0,3500.0,500.0,6000.0,1666.6666666666667,3916.6666666666665,74.27,445620.0
2014-04-01,Product_0002,Whse_C,Category_005,7000.0,4,2,2014,Spring,0,6000.0,1000.0,3500.0,10000.0,3500.0,3916.6666666666665,65.14,455980.0
2014-05-01,Product_0002,Whse_C,Category_005,1000.0,5,2,2014,Spring,0,7000.0,6000.0,1000.0,2500.0,4666.666666666667,3416.6666666666665,67.18,67180.0
2014-07-01,Product_0002,Whse_C,Category_005,1500.0,7,3,2014,Summer,0,1000.0,7000.0,6000.0,500.0,4666.666666666667,3166.6666666666665,61.57,92355.0
2014-09-01,Product_0002,Whse_C,Category_005,6000.0,9,3,2014,Autumn,0,1500.0,1000.0,7000.0,3500.0,3166.6666666666665,3333.3333333333335,67.3,403800.0
2014-10-01,Product_0002,Whse_C,Category_005,4500.0,10,4,2014,Autumn,0,6000.0,1500.0,1000.0,1000.0,2833.3333333333335,3750.0,70.71,318195.0
2014-12-01,Product_0002,Whse_C,Category_005,1000.0,12,4,2014,Winter,1,4500.0,6000.0,1500.0,6000.0,4000.0,4333.333333333333,71.72,71720.0
2015-01-01,Product_0002,Whse_C,Category_005,3000.0,1,1,2015,Winter,0,1000.0,4500.0,6000.0,7000.0,3833.3333333333335,3500.0,74.86,224580.0
2015-02-01,Product_0002,Whse_C,Category_005,6000.0,2,1,2015,Winter,0,3000.0,1000.0,4500.0,1000.0,2833.3333333333335,2833.3333333333335,73.4,440400.00000000006
2015-03-01,Product_0002,Whse_C,Category_005,2000.0,3,1,2015,Spring,0,6000.0,3000.0,1000.0,1500.0,3333.3333333333335,3666.6666666666665,72.37,144740.0
2015-04-01,Product_0002,Whse_C,Category_005,5000.0,4,2,2015,Spring,0,2000.0,6000.0,3000.0,6000.0,3666.6666666666665,3750.0,67.07,335349.99999999994
2015-05-01,Product_0002,Whse_C,Category_005,4500.0,5,2,2015,Spring,0,5000.0,2000.0,6000.0,4500.0,4333.333333333333,3583.3333333333335,64.06,288270.0
2015-06-01,Product_0002,Whse_C,Category_005,500.0,6,2,2015,Summer,0,4500.0,5000.0,2000.0,1000.0,3833.3333333333335,3583.3333333333335,64.14,32070.0
2015-07-01,Product_0002,Whse_C,Category_005,2000.0,7,3,2015,Summer,0,500.0,4500.0,5000.0,3000.0,3333.3333333333335,3500.0,62.35,124700.0
2015-09-01,Product_0002,Whse_C,Category_005,2000.0,9,3,2015,Autumn,0,2000.0,500.0,4500.0,6000.0,2333.3333333333335,3333.3333333333335,70.91,141820.0
2015-10-01,Product_0002,Whse_C,Category_005,1000.0,10,4,2015,Autumn,0,2000.0,2000.0,500.0,2000.0,1500.0,2666.6666666666665,68.98,68980.0
2015-11-01,Product_0002,Whse_C,Category_005,5000.0,11,4,2015,Autumn,1,1000.0,2000.0,2000.0,5000.0,1666.6666666666667,2500.0,68.61,343050.0
2015-12-01,Product_0002,Whse_C,Category_005,2000.0,12,4,2015,Winter,1,5000.0,1000.0,2000.0,4500.0,2666.6666666666665,2500.0,71.97,143940.0
2016-01-01,Product_0002,Whse_C,Category_005,1000.0,1,1,2016,Winter,0,2000.0,5000.0,1000.0,500.0,2666.6666666666665,2083.3333333333335,73.84,73840.0
2016-03-01,Product_0002,Whse_C,Category_005,2000.0,3,1,2016,Spring,0,1000.0,2000.0,5000.0,2000.0,2666.6666666666665,2166.6666666666665,65.98,131960.0
2016-04-01,Product_0002,Whse_C,Category_005,1000.0,4,2,2016,Spring,0,2000.0,1000.0,2000.0,2000.0,1666.6666666666667,2166.6666666666665,68.44,68440.0
2016-05-01,Product_0002,Whse_C,Category_005,2000.0,5,2,2016,Spring,0,1000.0,2000.0,1000.0,1000.0,1333.3333333333333,2000.0,68.98,137960.0
2016-06-01,Product_0002,Whse_C,Category_005,1000.0,6,2,2016,Summer,0,2000.0,1000.0,2000.0,5000.0,1666.6666666666667,2166.6666666666665,63.55,63550.0
2016-07-01,Product_0002,Whse_C,Category_005,2000.0,7,3,2016,Summer,0,1000.0,2000.0,1000.0,2000.0,1333.3333333333333,1500.0,62.43,124860.0
2016-08-01,Product_0002,Whse_C,Category_005,8500.0,8,3,2016,Summer,0,2000.0,1000.0,2000.0,1000.0,1666.6666666666667,1500.0,63.22,537370.0
2016-09-01,Product_0002,Whse_C,Category_005,1000.0,9,3,2016,Autumn,0,8500.0,2000.0,1000.0,2000.0,3833.3333333333335,2750.0,70.36,70360.0
2016-10-01,Product_0002,Whse_C,Category_005,3500.0,10,4,2016,Autumn,0,1000.0,8500.0,2000.0,1000.0,3833.3333333333335,2583.3333333333335,69.08,241780.0
2016-11-01,Product_0002,Whse_C,Category_005,8000.0,11,4,2016,Autumn,1,3500.0,1000.0,8500.0,2000.0,4333.333333333333,3000.0,70.19,561520.0
2016-12-01,Product_0002,Whse_C,Category_005,1000.0,12,4,2016,Winter,1,8000.0,3500.0,1000.0,1000.0,4166.666666666667,4000.0,76.06,76060.0
2012-06-01,Product_0002,Whse_S,Category_005,95500.0,6,2,2012,Summer,0,203500.0,57500.0,85000.0,216000.0,115333.33333333333,106166.66666666667,57.96,5535180.0
2012-07-01,Product_0002,Whse_S,Category_005,118000.0,7,3,2012,Summer,0,95500.0,203500.0,57500.0,65000.0,118833.33333333333,86083.33333333333,62.15,7333700.0
2012-08-01,Product_0002,Whse_S,Category_005,117000.0,8,3,2012,Summer,0,118000.0,95500.0,203500.0,10000.0,139000.0,94916.66666666667,61.3,7172100.0
2012-09-01,Product_0002,Whse_S,Category_005,66500.0,9,3,2012,Autumn,0,117000.0,118000.0,95500.0,85000.0,110166.66666666667,112750.0,62.87,4180855.0
2012-10-01,Product_0002,Whse_S,Category_005,115000.0,10,4,2012,Autumn,0,66500.0,117000.0,118000.0,57500.0,100500.0,109666.66666666667,64.62,7431300.000000001
2012-11-01,Product_0002,Whse_S,Category_005,142500.0,11,4,2012,Autumn,1,115000.0,66500.0,117000.0,203500.0,99500.0,119250.0,64.53,9195525.0
